Aabenraa (DK), Verband Deutscher Büchereien Nordschleswig
Ludwigshafen, Stadtbibliothek
Lüdenscheid, Stadtbücherei
Lüneburg, Ratsbücherei der Hansestadt
Luzern (CH), Bibliotheksverband Region
Luzern (CH), Hochschule Luzern (HSLU)
Luzern (CH), Zentral- & Hochschulbibliothek Luzern
Mainz, Öffentliche Bücherei - Anna Seghers
Mainz, Wissenschaftliche Stadtbibliothek
Mannheim, Stadtbibliothek
Mannheim, Universität Universitätsbibliothek
Marburg, Stadtbücherei
Marburg, Universität
Marktbreit, Stadtbücherei
Marktheidenfeld, FindUthek Stadtbücherei
Marl, Bibliotheksverbund Recklinghausen Marl Haltern
Meckenbeuren, Gemeindebücherei
Meerbusch, Stadtbibliothek
Meersburg, Stadtbücherei
Metzingen, Stadtbücherei Kalebskelter
Minden, Stadtbibliothek
Möckmühl, Mediathek
Mönchengladbach, Stadtbibliothek
Moers, Stadtbibliothek
Mössingen, Stadtbücherei
Mosbach, Mediathek
Mülheim a.d. Ruhr, Stadtbibliothek Mülheim
Müllheim, Mediathek
München, Münchner Stadtbibliothek
München, TU Universitätsbibliothek
Münster, Stadtbücherei
Müstair (CH), Medioteca Müstair
Neckarsulm, Mediathek
Neckarwestheim, Medienwelt Bücherei
Neu Wulmstorf, Gemeindebücherei
Neu-Isenburg, Stadtbibliothek
Neubiberg, Gemeindebibliothek Südpool-Verbund
Neubrandenburg, Regionalbibliothek
Neuburg, Staatliche Bibliothek an der Donau
Neuenburg, Stadtbibliothek
Neuhausen auf den Fildern, Öffentliche Kath. Bücherei
Neumarkt, Stadtbibliothek
Neumünster, Stadtbücherei
Neuss, Stadtbibliothek
Neustadt am Rübenberge, Stadtbibliothek
Niederwerrn, FindUthek Gemeindebibliothek
Nienburg/Weser, Stadtbibliothek Nienburg
Niesky, Stadtbibliothek
Norderstedt, Stadtbücherei
Nordheim, Ortsbücherei
Nordwestschweiz (CH), FHNW - Fachhochschule Nordwestschweiz
Nürtingen, Stadtbücherei
